"date","X00","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23"
"2011/01/01",18,33,29,41,31,10,13,20,16,10,23,16,4,12,27,31,15,18,33,21,17,30,27,30
"2011/01/02",28,21,29,19,15,30,33,23,16,18,32,25,16,32,25,14,22,25,24,18,21,32,17,10
"2011/01/03",19,9,9,25,17,24,26,14,24.947510936167,40,13,9,13,9,6,4,4,9,5,0,10,35,24,5
"2011/01/04",16,26,25,22,31,23.7831362773764,28,26,28,42,39,26,42,52,39,49,49,40,44,28,30,30,23,36
"2011/01/05",30,26,27,26,33,22,17,24,18,8,17,22,5,14,13,21,27,11,22,22,31,27,12,13
"2011/01/06",19,15,11,25,14,10,13,4,18,23,19,26,12,13,23,30,35,38,35,31,39,44,51,39
"2011/01/07",17,27,35,17,9,24,33,17,30,28,14,23,13,4,3,0,8,8,3,4,8,18,11,10
"2011/01/08",12,2,6,11,12,13,6,3,12,21,15,4,7,12,4,6,8,13,17.8519380209897,18,3,5,5,7
"2011/01/09",7,10,16,8,4,6,2,7,9,6,15,20,18,13,13,15,30,51,68,64,53,50,50,15.2387333808774
"2011/01/10",36,37,27,10,25,28,7,10,12,12,20,11,6,6,10,10,5,9,6,8,6,0,5,11
"2011/01/11",7,4,3,0,0,6,17,13,12,24,20,24,30.1598307857227,24,18,30.2507475630307,22,18,25,10,19,23,15,19
"2011/01/12",13,10,16,24,30.7459600402995,21,24,23,31,23,32.459661216356,12,16,27,45,56,45,48,53,56,56,50,42,35
"2011/01/13",44,39,38,47,47,46,41,22.0410455975985,36,19,38,20.5423821639736,22,30,21,10,20,26,25,19,26,22,6,23
"2011/01/14",39,27,26,24,17,17,30,40,38,42,44,48,38,15,22,18,15,24,11,2,11,11,4,10
"2011/01/15",5,6,6,9,20,11,7,14,7,10,16,6,13,18,16,25,27,22,18,23,35,45,37,14.5526550297941
"2011/01/16",43,29,43,39,15,23,34,12.1377501471053,29,25,31,19,10,3,15,13,5,21,16,15,18,15,20,8
"2011/01/17",0,15,15,9,9,2,5,6,3,11,14,3,2,8,9,15,16,13,10,0,12,12,7,7
"2011/01/18",11,21,11,6,5,11,11,1,6,15,11,11,10,0,13,13,0,12,12,13,15,6,12,15
"2011/01/19",7,12,16,12,16,8,10,26,19,12,18,9,14,14,13,13,2,8,6,2,2,6,11,6
"2011/01/20",3,1,8,8,5,5,13,19,6,12,22,10,15,15,5,15,16,6,11,16,5,9,8,10
"2011/01/21",10,0,6,6,10,10,10,10,4,10,6,5,5,0,3,11,26,18,11,20,8,9,17,13
"2011/01/22",17,21,24,19,7,20,32,19,26,35,27,30,28,33,31,28,39,29,32,38,34,34,30,22
"2011/01/23",27,28,22,26,22,30,27,15,34,58,66,66,48,30,31,16,17,31,25,21,15,18,26,14
"2011/01/24",19,21,17,25,21,16,21,15.1220226769902,25,22,38,26,32,13.0920924995295,34,12.7864988215193,12.3341750512541,13,34,53,53,11.1444115733774,10.8319021359134,12
"2011/01/25",18,18,18,25,17,7,7,4,13,9,13,14,11,11,3,8,9,9,13,8,11,10,2,10
"2011/01/26",13,5,6,16,11,8,9,5,5,10,13,6,11,9,2,2,15,15,0,10,11,4,12,9
"2011/01/27",4,7,3,0,8,8,1,7,13,7,13,13,0,11,17,6,4,11,23,16,8,14,15,10
"2011/01/28",9,9,9,19,10,4,7,3,9,26,17,2,4,2,5,13,9,1,0,10,10,4,4,10
"2011/01/29",19,9,4,11,7,15,24,9,16,16,8,11,11,17,37,29.6681601902319,43,38,41,29.2365347317029,29,16,36,29.1124710880103
"2011/01/30",50,28.5419649172718,54,28.0894519187971,27.3672866145924,53,26.8516979622738,26.2833717214037,25.8471545248022,25.7734333567297,54,53,47,47,41,55,51,45,44,24.8936341553154,41,30,33,30
"2011/01/31",24,30,26,23.0524618955909,19,11,25,32,19,1,9,7,12,19,8,1,25,34,16,17,26,32,25,32
"2011/02/01",27.8380624119358,32,28,14,27,22,3,22,26,10,16,33,34,30,32.5899455814575,32.8102680800739,37,31,53,43,19,17,20,27
"2011/02/02",19,14,12,22,29,9,26,26,13,27,24,19,21,22,26,45.2599355634792,35,21,45.8194965052419,45.5626111343573,43,46,65,69
"2011/02/03",44,54,48.4519799639187,48.5313264279692,51,53,53,48.9211592645645,48.8899958646866,48.7678083968841,54,44,16,36,39,34,44,35,31,35,47,59,78,97
"2011/02/04",96,81,61,56,46,45,37,28,45,48,39,45,42.9138121398396,42.6199454419384,32,33,27,37,52,41.255416982201,34,27,51,72
"2011/02/05",60,60,70,59,45,48,56,46,42,56,45,41,59,55,50,38.7433325280284,50,38.9490354572726,39,45,41,28,38,29
"2011/02/06",16,22,28,27,24,39,41,30,40,46,40,47,40,34,47,33,28,41,31,34,40,40,40,40
"2011/02/07",45,37,43,34,29,47.1044783321564,47.373132599175,41,34,53,48,41,48,39,42,52.1270437426495,52.1764988508275,38,45,49,45,52.5603308846276,52.6079553799661,52.1363189181508
"2011/02/08",51.4020396573547,50.6711433215337,31,34,41,47.5953572547621,47.2020119299604,62,69,80,98,78,57,52,48,54,39,30,36,37,42,43.7144701963092,42.9765031293143,42.2526454352236
"2011/02/09",35,39,50,49,43,37.6140997636698,36.833508014701,35.9987046836565,51,58,53,44,57,72,72,88,77,46,48,50,56,41,40,66
"2011/02/10",51,30,19,19,16,13,21,20,34,36,33,51,49,42,49,45,35,44,53,35,35,43,32,19
"2011/02/11",14,14,6,11,11,4,17,16,10,7,8,16,10,6,18,17,23,22,23,23,17,26,29,32
"2011/02/12",32,41,49,45,41,44,38,49,58,54,55,67,85,73,64,55,68,89,76,66,70,69,67,42
"2011/02/13",27,42,31,33,30,14,25,26,22,24,33,28,13,22,35,26,22,33,20,14,28,25,8,11
"2011/02/14",22,11,7,15,8,4,4,8,14,6,8,26.3242889520993,8,15,29,36,36,46,57,57,55,48,57,52
"2011/02/15",37,43,36,36,52,42,35,28,32,23,23,38,37,29,17,26,21,28,28,9,12,19,17,21
"2011/02/16",23,6,9,9,0,5,19,13,5,16,33,40,31,16,22,35,33,26,22,33,22,19,30,24
"2011/02/17",23,31,35,30,33,40,36,42,44,23,38,16.6900237969337,45,50,34,26,25,22,31,39,37,34,35,29
"2011/02/18",9,11,10,10,13,3,11,12,11,10,14,13,10,25,15,5,18,15,2,0,17,17,0,11
"2011/02/19",11,7,16,9,3,11,11,12,16,10,3,13,22,15,14,19,14,22,22,5,17,15,11,28
"2011/02/20",24,7,9,9,4,14,11,1,8,25,33.5926853228005,23,17,19,24,30,19,23,23,26,32,19,15,10
"2011/02/21",18,29,15,31,36,19,17,11,17,30,22,21,32,36,33,28,35,31,36,58,55,50,37,45
"2011/02/22",59,51,55,63,63,52,51,49,46,54,62,56,33,23,23,19,33,25,14,26,16,13,26,25
"2011/02/23",19,27,22,30,35,22,40,54,44,38,39,34,29,16,16,41,24,19,38,42,41,24,20,22
"2011/02/24",17,30,25,26,45,39,35,33,29,46,32.1251744160402,42,38,59,54,25,11,18,27,21,18,35,34,20
"2011/02/25",24,27,19,35,50,49,28,31.5786930169167,39,53,31,37,33.4988441391662,22,25,53,49,61,56,34,31,30,31,36
"2011/02/26",25,23,33,16,18,24,30,29,28,29,21,25,23,19,23,16,13,30,19,18,36,19,12,27
"2011/02/27",19,14,20,21,36,48,49,63,77,79,54,39,62,61,53,97,97,57,48,63,79,68,73,73
"2011/02/28",59,64,66,60,43,24,29,29,32,60,74,78,49,31,40,31,30,37,39,40,41,35,42,54
"2011/03/01",36,33,39,29,27,35,36,35,45,42,54,58,39,37,26,16,8,2,10,8,0,11,18,9
"2011/03/02",18,20,11,21,38,37,30,21,14,26,28,17,25,23,7,22,35,32,29,37,41,38,20,10
"2011/03/03",11,14,23,20,21,22,15,16,22,16,18,26,22,16,28,21,19,33,20,13,14,13,18,24
"2011/03/04",13,16,24,17,25,25,17,10,14,32,35,28,34,37,24,43,53,40,57,59,50,43,50,46
"2011/03/05",37,44,47,47,33,38,34,28,33,26,33,40,18,11,27,35,31,24,40,47,43,72,79,61
"2011/03/06",64,57,59,49,41,60,53,49,57,63,66,66,67,74,83,99,107,106,96,74,68,72,74,81
"2011/03/07",71,42,28,23,15,11,7,22,39.5783618442055,44,57,86,82,89,125,144,168,183,159,126,66,21,17,11
"2011/03/08",12,23,21,19,14,13,21,25,34,22,16,27,15,14,37,25,10,17,21,24,25,22,22,27
"2011/03/09",21,23,32,25,31,47,27,16,21,17,15,13,16,20,21,28,33,40,36,26,26,38,52,46
"2011/03/10",42,45,49,37,37,47,46,48,49,49,48,61,51,37,39,30,15,28,27,17,29,17,11,28
"2011/03/11",29,20,16,14,21,33,27,19,23,26,21,23,29,28,38,36,31,42,35,20,16,19,21,22
"2011/03/12",11,18,27,22,26,22,17,21,23,21,32,39,35,30,25,29,36,49,41,45,71,59,53,58
"2011/03/13",55,61,44,37,35,32,47,33,23,40,35,24,18,20,28,17,19,28,24,24,13,10,23,13
"2011/03/14",12,15,6,16,16,20,40,42,45,54,52,40,33,36,37,28,30,40,32,34,49,35,36,34.4850930473595
"2011/03/15",39,51,67,43,32,25,20,19,7,12,17,4,16,33.9117288041025,16,9,10,25,48,30,17,20,21,25
"2011/03/16",23,31,45,50,58,64,54,57,58,53,45,42,55,55,45,41,36,38,37,32,30,34,37,27
"2011/03/17",33,23,21,26,26,30,28,22,20,33,28,21,28,37,33,31,43,36,34,48,38,38,47,41
"2011/03/18",39,33,34,31,34,40,42,42,42,55,39,30,36,37,42,58,45,37,51,30,39,50,35,37
"2011/03/19",42,36,35,41,28,22,29,37,55,62,60,46,30,40,49,68,75,52,61,59,46,62,67,79
"2011/03/20",97,109,91,79,76,71,91,78,68,89,90,57,40,48,64,71,53,47,69,75,51,43,61,69
"2011/03/21",74,68,52,70,78,49,57,72,69,86,70,23,16,21,25,47,28,18,59,51,32,32,19,12
"2011/03/22",2,7,9,2,9,15,13,7,9,13,9,17,20,8,26.2772003085821,27.2244612976422,12,23,35,35,33,34,26,17
"2011/03/23",12,23,20,17,18,15,8,10,8,8,14,17,13,3,12,17,10,17,28,28,33,29,27,37
"2011/03/24",29,21,26,38,43,35,38,43,31,26,38,41,47,45,51,68,69,66,37,31,40,22,22,23
"2011/03/25",21,31,23,16,28,18,24,38,37,42,33,45,52,47,47,60,62,58,57,57,53,30,36,31
"2011/03/26",21,24,13,11,20,11,5,19,17,3,3,9,20,14,10,18,17,9,12,12,6,21,16.8947866532276,17
"2011/03/27",10,22,12,13,16,4,7,12,10,19,27,21,11,10,16,20,11,17,17,9,14,17,12,15
"2011/03/28",16,18,21,17,26,14,22,32.6525922661507,36,33,37,22,13,18,24,14,33.0988992839998,32.9839106701698,18,18,18,17,6,15
"2011/03/29",15,15,26,24,33,26,15,36,43,32,30,39,40,38,28,32,52,45,35,40,48,44,35,43
"2011/03/30",43,54,47,44,61,56,57,54,43,34,37,31,19,23,28,21,8,23,29,17,20,30,18,19
"2011/03/31",28,22,24,26,20,20,28,28,32,25,19,29,34,39,30,30,46,41,39,49,38,34,45,42
"2011/04/01",37,32,43,38,28,39,52,59,50,41,50,53,43,51,43,26,40,52,39,24,32,42,31,33
"2011/04/02",32,30,41,45,49,37,34,47,55,52,58,69,68,73,64,51,32,32,48,46,35,33,50,39
"2011/04/03",26,27,23,25,19,25,50,57,46,46,53,61,57,53,48,40,42,29,11,11,17,10,2,7
"2011/04/04",5,0,1,7,5,5,11,20,15,13,13,14,17,12,16,11,8,31,27,13,17.794367805103,27,24,32
"2011/04/05",24,8,17,27,13,17,25,14,22,29,25,15,15,29,18,9,19,27,13,5,14,14,10,17
"2011/04/06",11,2,12,15,6,11,21,35,25,13,31,20,20,33.6482649500052,28,36,38,21,7,11,12,7,3,27
"2011/04/07",53,54,51,46,30,34,36,40,48,49,62,70,80,71,70,49,27,47,53,40,24,15,7,14
"2011/04/08",19,20,27,25,29,14,7,20,43,53,51,25.9755351631275,26,35,29,20,24,29,32,14,22,32,16,12
"2011/04/09",23,22,8,6,17,32,32,21,34,28,16,6,24,26,24,32,35,22,7,13,22,22,18,9
"2011/04/10",2,17,21,15,27,16,19,41,38,47,64,64,60,55,47,54,66,81,96,95,91,100,95,85
"2011/04/11",89,72,57,56,53,52,71,59,38,51,49,48,59,69,87,113,119,104,86,91,84,65,52,36
"2011/04/12",39,33,13,8,24,17,3,11,21,18,4,14,21,11,12,18,18,13,6,16,18,21,18,6
"2011/04/13",17,25,18,10,18,19,20,24,35,34,50.1637156629513,11,26,46,43,40,33,48,43,22,29,42,53,46
"2011/04/14",33,35,33,28,28,37,49,55,59,57,71,98,84,71,72,60,56,52,52,65,58,45,58,70
"2011/04/15",69,50,41,60,61,57,62,53,67,67,60,57,46,44,50,48,33,40,56,55,43,46,46,45
"2011/04/16",41,48,52,48,63,51,47,53,46,55,51,37,31,29,51,56,45,50,62,64,52,40,18,15
"2011/04/17",25,19,18,27,16,5,16,11,16,22,6,1,19,29,21,14,5,10,17,20,27,15,11,21
"2011/04/18",26,37,32,21,27,24,20,18,10,10,15,32,44,41,48,65,72,54,47,52,46,37,46,62
"2011/04/19",50,37,54,53,35,37,36,33,38,38,34,29,37,45,39,36,36,28,26,44,33,30,44,28
"2011/04/20",24,39,31,27,36,24,25,37,24,15,21,28,19,3,17,24,13,18,18,10,23,20,2,9
"2011/04/21",20,23,18,18,31,32,27,24,22,30,34,42,48,49,40,37,57,54,50,57,46,40,39,43
"2011/04/22",37,26,29,33,25,31,37,24,33,46,60,68,56,49,34.6291002977323,24,3,19,25,17,21,27,32,32
"2011/04/23",14,21,29.4880303029301,28.7101210006757,52,67,67,81,98,80,77,78,48,32,46,27.2743028662609,20,22,31,26,19,21,26,20
"2011/04/24",16,23,14,13,19,19,17,16,31,31,22,21,32,32,36,41,29,23,20,27,27,15,16,11
"2011/04/25",9,18,17,17,10,3,11,22,29,40,42,40,58,44,23,34,36,45,62,58,41,46,41,30
"2011/04/26",29,38,50,44,28,30,31,31,51,75,70,55,50,54,56,44,41,48,47,36,31,33,41,31
"2011/04/27",28,42,44,43,41,26,26,39,40,36,43,62,54,54,68,56,44,47,55,51,43,51,47,53
"2011/04/28",56,50,57,54,41,42,54,58,52,58,62,48,43,40,48,52,56,78,74,58,61,50,51,67
"2011/04/29",66,49,43,45,46,43,40,57,63,52,48,46,44,61,81,82,69,75,68,57,66,61,50,40
"2011/04/30",41,37,40,45,48,73,73,64,83,84,70,68,85,79,72,94,104,121,106,83,70,64,68,62
"2011/05/01",78,63,42,61,60,33,24,52,32.9077810047165,30,27,31,22,13,20,28,27,20,23,28,14,23,34,35
"2011/05/02",30,22,27,27,21,9,15,27.1041610423848,40,41,38,49,37,24,20,30,47,31,12,27,39,15,16,28
"2011/05/03",26,17,14,25,40,53,49,51,56,75,65,46,36,25,34,28,11,11,16,8,4,8,13,17
"2011/05/04",10,12,19,18,27,26,14,14,24,13,10,20,10,9,22,13,13,21,8,14,29,20,11,25
"2011/05/05",30,13,10,12,13,17,9,17,25,20,12,15,31,24,24,25,28,34,23,21,23,15,20,39
"2011/05/06",25,8,12,11,14,9,21,43,52,44,40,43,40,38,32,39,37,26,40,44,36,44,39,27
"2011/05/07",42,52,56,50,32,30,24,32,47,38,23,17,39,49,45,42,29,32,22,16,32,35,31,33
"2011/05/08",37,19,12,18,25,34,32,42,54,47,42,47,45,32,36,41,32,30,32,47,47,40,40,24
"2011/05/09",11,18,36,33,32,39,36,37,27,20,16,8,29,39,40,40,41,49,27,11,9,3,4,16
"2011/05/10",12,0,1,7,29,20.852708344875,20,31,38,43,41,24,29,38,49,42,15,0,5,6,3,3,14,19
"2011/05/11",16,11,17,21,14,10,13,30,38,28,18,20,28,25,22,28,26,29,26,25,27,27,21,6
"2011/05/12",17,22,15,18,14,14,24,25,10,18,30,43,26.2022522440186,26.3797852396849,4,8,7,8,12,22,19,13,16,5
