序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期
1,24813076,東哲投資股份有限公司,臺北市信義區信義路4段460號18樓,林志明,1382000000,1070926
2,29187412,崴得升科技有限公司,高雄市前鎮區復興四路2號四樓之1A03室,李居財,2000000,1070907
3,29187428,易傳塾科技有限公司,高雄市前鎮區復興四路20號,潘則佑,1000000,1070914
4,42519006,台灣艾貴太陽能源股份有限公司,臺北市信義區忠孝東路5段68號20樓,梁盛宇 (Sung Woo Yang),369750000,1070927
5,42921458,鑫隆食品實業有限公司,臺南市南區再興里新慶街３號1樓,蔡鑫隆,299999,1070827
6,42921632,承龍建設開發有限公司,臺南市西港區慶安里新興街5之38號1樓,謝沅宏,1000000,1070830
7,42921746,禾祺有限公司,臺南市善化區小新里成功新村50號1樓,陳秀鳳,1000000,1070831
8,42921772,乙翔資訊股份有限公司,臺南市善化區南關里三民路1-43號1樓,林皇佑,2000000,1070903
9,42921823,志鎂興業有限公司,臺南市六甲區甲東里四維街2巷18號1樓,王瑜鎂,200000,1070903
10,42921838,品山有限公司,臺南市山上區明和里北勢洲96號,吳文彥,13000000,1070903
11,42921859,富立生醫科技有限公司,臺南市北區成功里北成路128巷72號,康佳煌,200000,1070903
12,42921865,晨泰生物科技有限公司,臺南市永康區尚頂里南台街13巷38弄2號1樓,閻尚斌,6000000,1070903
13,42921870,益晟國際開發有限公司,臺南市安平區建平一街215號1樓,陳國裕,9000000,1070903
14,42921892,久容投資有限公司,臺南市安平區文平里建平六街12號1樓,鄭紹賢,50000000,1070903
15,42921909,普飛特有限公司,臺南市永康區成功里中華路88號,盧冠廷,200000,1070903
16,42921915,久弘投資有限公司,臺南市七股區玉成里玉成5-2號1樓,蔡奇諴,50000000,1070903
17,42921921,紅洋貿易有限公司,臺南市南區新興里11鄰金華路二段１８號1樓,吳秀津,600000,1070903
18,42921936,寬運冷氣空調有限公司,臺南市安南區城西街一段61巷58弄12號1樓,周明義,200000,1070903
19,42921942,頤辰醫療器材有限公司,臺南市白河區庄內里愛國街77巷8號1樓,鄭錫銘,6000000,1070903
20,42921957,翎夢新媒體有限公司,臺南市永康區中興里中華路198-3號,許恆毅,100000,1070904
21,42921963,長利國際投資有限公司,臺南市北區成德里育德二路445號1樓,施貞羽,50000000,1070905
22,42921978,立葉投資發展股份有限公司,臺南市安南區郡安路四段77號2樓,吳當進,110000,1070905
23,42921984,揚鯨生技股份有限公司,臺南市七股區大寮里大寮98號之3,鄭俊明,500000,1070904
24,42921990,昱暄科技有限公司,臺南市新市區中正路35號2樓,陳彥銘,1000000,1070905
25,42922007,志茂紡織有限公司,臺南市永康區塩洲里塩行路２７８號1樓,周志傑,200000,1070904
26,42922013,富安食品有限公司,臺南市永康區西勢里富強路一段73號1樓,潘品蓉,3000000,1070905
27,42922029,精英貿易有限公司,臺南市南區金華路二段289巷28號1樓,蘇松樹,1000000,1070904
28,42922034,全新食品有限公司,臺南市安平區國安里永華路二段709號,葉國翔,100000,1070904
29,42922040,昱順石材有限公司,臺南市安南區海南里府安路七段75巷25號1樓,李昱璽,2000000,1070905
30,42922055,長益國際投資有限公司,臺南市北區成德里文成一路205號1樓,高愛紅,50000000,1070905
31,42922061,凡猷交通企業有限公司,臺南市永康區勝利里勝學路260巷12號4樓之6,葉美杏,25000000,1070905
32,42922076,蜻蜓軒有限公司,臺南市新市區仁愛街79號7樓之1,何菁婷,500000,1070906
33,42922082,鵬揮建設有限公司,臺南市永康區永康里永平街56巷3號,陳怡伶,6000000,1070905
34,42922098,磐逢工程有限公司,臺南市南區文南里南功街51號1樓,張銘峯,1000000,1070905
35,42922105,邦洲綠能股份有限公司,臺南市南區文南路66號,林振家,1000000,1070906
36,42922127,集富建設有限公司,臺南市永康區崇成里15鄰崇明路571號1樓,郭素華,6000000,1070906
37,42922132,中富股份有限公司,臺南市安平區文平路428號3樓,邱財慶,6500000,1070906
38,42922148,台泥南沖綠能股份有限公司,臺南市仁德區太乙七街36號,呂克甫,20000000,1070906
39,42922153,沛森有限公司,臺南市永康區復華里國華街102巷77號,陳家偉,12000,1070907
40,42922169,布隆伯格生物科技有限公司,臺南市善化區西關里興農路23號,林素如,500000,1070906
41,42922174,光富科技有限公司,臺南市中西區安海里金華路三段230號3樓之1,林佩蓁,50000,1070907
42,42922180,金豪投資有限公司,臺南市西港區慶安里進學街54巷33號,邱金靜,5200000,1070907
43,42922196,星承投資有限公司,臺南市永康區崑山里永華路32巷10號4樓,謝伉瑾,1000000,1070907
44,42922203,太和書院股份有限公司,臺南市安平區文平路535號1樓,林文欽,1100000,1070907
45,42922219,菁鈨科技有限公司,臺南市仁德區太乙路３６號二樓,葉琬菁,300000,1070907
46,42922225,倍速運動有限公司,臺南市北區大興街233巷56號1樓,應惠帆,500000,1070907
47,42922230,馥絲國際企業有限公司,臺南市麻豆區新建里麻學路一段5號1樓,莊景羽,100000,1070910
48,42922246,巨杉投資有限公司,臺南市北區公園路433巷30弄11號1樓,陳瑞忠,400000,1070910
49,42922251,晉瑒興業有限公司,臺南市佳里區安西里忠孝路371號2樓,吳伊齡,1000000,1070910
50,42922267,僖望企業有限公司,臺南市官田區隆田里勝利路87號1樓,江明珊,1000000,1070910
51,42922272,鋐達精密五金有限公司,臺南市仁德區一甲里中正路三段315號1樓,王溢浤,1000000,1070910
52,42922288,辰記投資有限公司,臺南市將軍區將軍里將榮114號2樓,翁興旺,3002000,1070909
53,42922294,九橫綱國際紙業有限公司,臺南市新市區永就里永就15之127號1樓,陳力豪,1000000,1070910
54,42922317,台灣德佑企業有限公司,臺南市安平區文平路２０９號十六樓之２,吳璟宏,60000,1070910
55,42922323,蒼穹科技工程有限公司,臺南市歸仁區看西里仁愛五街12-1號1樓,林旭明,200000,1070910
56,42922338,隆益整合行銷有限公司,臺南市南區同安里明興路1451號1樓,黃國昇,1000000,1070910
57,42922359,安利土木包工業有限公司,臺南市安南區海佃路四段388巷67弄11號1樓,李美姿,800000,1070910
58,42922365,安平旅館管理顧問有限公司,臺南市安南區溪墘里海佃路1段246巷2號3樓,林祝三,300000,1070910
59,42922370,宇鴻旅行社有限公司,臺南市南區南功街65號,郭碧雲,6000000,1070910
60,42922386,台灣全民綠電股份有限公司,臺南市東區東門路三段149號3樓,陳葑名,1000000,1070910
61,42922392,卡寶貝企業有限公司,臺南市中西區三合里成功路457號11樓之2,黃富忠,3000000,1070910
62,42922409,涵園有限公司,臺南市永康區塩行里中正北路58號1樓,李函瑾,250000,1070910
63,42922415,捷昊科技有限公司,臺南市安南區州北里安昌街55巷41號,邱惠琴,300000,1070910
64,42922421,東峰生技有限公司,臺南市善化區昌隆里東勢寮233-1號1樓,李明益,1000000,1070912
65,42922436,銓宏營造有限公司,臺南市西港區金砂里8鄰新寮1號,謝佩璇,3620000,1070910
66,42922457,和廣電子有限公司,臺南市安南區長安里長溪路三段373巷40號1樓,盧芃樺,5000000,1070911
67,42922463,德慶燈光音響有限公司,臺南市安定區中崙69號1樓,沈建霖,200000,1070911
68,42922478,涌泰光電有限公司,臺南市新營區大同路14之1號1樓,趙巡漢,100000,1070911
69,42922484,泓禹國際有限公司,臺南市東區莊敬里14鄰莊敬路219巷5-4號,田尚正,1000000,1070910
70,42922490,康城綠能科技有限公司,臺南市東區裕農里裕農路375號7樓之1,何紹康,100000,1070910
71,42922506,承展開發建設有限公司,臺南市安定區海寮里海寮37之2號1樓,徐振展,1000000,1070911
72,42922512,新茂太陽能有限公司,臺南市學甲區光華里新頭港子10之21號1樓,郭柏宏,5000000,1070911
73,42922528,麒翔建設有限公司,臺南市南區國華街一段二二巷九號一樓,杜璧如,10000000,1070911
74,42922533,寶貝家生活科技有限公司,臺南市永康區王行里永科三路99號2樓,劉恩銓,360000,1070911
75,42922549,京鎧科技有限公司,臺南市麻豆區安業里安業82-14號2樓,洪漢育,500000,1070911
76,42922554,天福生物科技有限公司,臺南市鹽水區下林里蜈蜞坑36號1樓,陳佑碩,2000000,1070911
77,42922560,星泰建設開發有限公司,臺南市麻豆區穀興里仁愛路10之1號1樓,陳美玲,25000000,1070911
78,42922575,耿利科技有限公司,臺南市東區裕信路三二二之六號,陳俊吉,1000000,1070911
79,42922581,月白有限公司,臺南市北區華興里南園街162巷16弄2號1樓,朱政宇,100000,1070911
80,42922597,蔚藍能源有限公司,臺南市東區東明里東安路92巷18號1樓,林家豪,2000000,1070912
81,42922604,茂泓能源股份有限公司,臺南市北區和緯路3段214號1樓,葉正賢,500000,1070911
82,42922610,三鑫五金企業有限公司,臺南市後壁區後壁里後壁43之88號,吳文亮,1000000,1070913
83,42922626,榮祐機械科技有限公司,臺南市善化區文昌里永福路71號1樓,林奕呈,1000000,1070913
