,Wind,Temp,Month,Day
0,7.4,67,5,1
1,8.0,72,5,2
2,12.6,74,5,3
3,11.5,62,5,4
4,14.3,56,5,5
5,14.9,66,5,6
6,8.6,65,5,7
7,13.8,59,5,8
8,20.1,61,5,9
9,8.6,69,5,10
10,6.9,74,5,11
11,9.7,69,5,12
12,9.2,66,5,13
13,10.9,68,5,14
14,13.2,58,5,15
15,11.5,64,5,16
16,12.0,66,5,17
17,18.4,57,5,18
18,11.5,68,5,19
19,9.7,62,5,20
20,9.7,59,5,21
21,16.6,73,5,22
22,9.7,61,5,23
23,12.0,61,5,24
24,16.6,57,5,25
25,14.9,58,5,26
26,8.0,57,5,27
27,12.0,67,5,28
28,14.9,81,5,29
29,5.7,79,5,30
30,7.4,76,5,31
31,8.6,78,6,1
32,9.7,74,6,2
33,16.1,67,6,3
34,9.2,84,6,4
35,8.6,85,6,5
36,14.3,79,6,6
37,9.7,82,6,7
38,6.9,87,6,8
39,13.8,90,6,9
40,11.5,87,6,10
41,10.9,93,6,11
42,9.2,92,6,12
43,8.0,82,6,13
44,13.8,80,6,14
45,11.5,79,6,15
46,14.9,77,6,16
47,20.7,72,6,17
48,9.2,65,6,18
49,11.5,73,6,19
50,10.3,76,6,20
51,6.3,77,6,21
52,1.7,76,6,22
53,4.6,76,6,23
54,6.3,76,6,24
55,8.0,75,6,25
56,8.0,78,6,26
57,10.3,73,6,27
58,11.5,80,6,28
59,14.9,77,6,29
60,8.0,83,6,30
61,4.1,84,7,1
62,9.2,85,7,2
63,9.2,81,7,3
64,10.9,84,7,4
65,4.6,83,7,5
66,10.9,83,7,6
67,5.1,88,7,7
68,6.3,92,7,8
69,5.7,92,7,9
70,7.4,89,7,10
71,8.6,82,7,11
72,14.3,73,7,12
73,14.9,81,7,13
74,14.9,91,7,14
75,14.3,80,7,15
76,6.9,81,7,16
77,10.3,82,7,17
78,6.3,84,7,18
79,5.1,87,7,19
80,11.5,85,7,20
81,6.9,74,7,21
82,9.7,81,7,22
83,11.5,82,7,23
84,8.6,86,7,24
85,8.0,85,7,25
86,8.6,82,7,26
87,12.0,86,7,27
88,7.4,88,7,28
89,7.4,86,7,29
90,7.4,83,7,30
91,9.2,81,7,31
92,6.9,81,8,1
93,13.8,81,8,2
94,7.4,82,8,3
95,6.9,86,8,4
96,7.4,85,8,5
97,4.6,87,8,6
98,4.0,89,8,7
99,10.3,90,8,8
100,8.0,90,8,9
101,8.6,92,8,10
102,11.5,86,8,11
103,11.5,86,8,12
104,11.5,82,8,13
105,9.7,80,8,14
106,11.5,79,8,15
107,10.3,77,8,16
108,6.3,79,8,17
109,7.4,76,8,18
110,10.9,78,8,19
111,10.3,78,8,20
112,15.5,77,8,21
113,14.3,72,8,22
114,12.6,75,8,23
115,9.7,79,8,24
116,3.4,81,8,25
117,8.0,86,8,26
118,5.7,88,8,27
119,9.7,97,8,28
120,2.3,94,8,29
121,6.3,96,8,30
122,6.3,94,8,31
123,6.9,91,9,1
124,5.1,92,9,2
125,2.8,93,9,3
126,4.6,93,9,4
127,7.4,87,9,5
128,15.5,84,9,6
129,10.9,80,9,7
130,10.3,78,9,8
131,10.9,75,9,9
132,9.7,73,9,10
133,14.9,81,9,11
134,15.5,76,9,12
135,6.3,77,9,13
136,10.9,71,9,14
137,11.5,71,9,15
138,6.9,78,9,16
139,13.8,67,9,17
140,10.3,76,9,18
141,10.3,68,9,19
142,8.0,82,9,20
143,12.6,64,9,21
144,9.2,71,9,22
145,10.3,81,9,23
146,10.3,69,9,24
147,16.6,63,9,25
148,6.9,70,9,26
149,13.2,77,9,27
150,14.3,75,9,28
151,8.0,76,9,29
152,11.5,68,9,30
