,Ozone,Solar.R,Month,Day
0,41.0,190.0,5,1
1,36.0,118.0,5,2
2,12.0,149.0,5,3
3,18.0,313.0,5,4
4,,,5,5
5,28.0,,5,6
6,23.0,299.0,5,7
7,19.0,99.0,5,8
8,8.0,19.0,5,9
9,,194.0,5,10
10,7.0,,5,11
11,16.0,256.0,5,12
12,11.0,290.0,5,13
13,14.0,274.0,5,14
14,18.0,65.0,5,15
15,14.0,334.0,5,16
16,34.0,307.0,5,17
17,6.0,78.0,5,18
18,30.0,322.0,5,19
19,11.0,44.0,5,20
20,1.0,8.0,5,21
21,11.0,320.0,5,22
22,4.0,25.0,5,23
23,32.0,92.0,5,24
24,,66.0,5,25
25,,266.0,5,26
26,,,5,27
27,23.0,13.0,5,28
28,45.0,252.0,5,29
29,115.0,223.0,5,30
30,37.0,279.0,5,31
31,,286.0,6,1
32,,287.0,6,2
33,,242.0,6,3
34,,186.0,6,4
35,,220.0,6,5
36,,264.0,6,6
37,29.0,127.0,6,7
38,,273.0,6,8
39,71.0,291.0,6,9
40,39.0,323.0,6,10
41,,259.0,6,11
42,,250.0,6,12
43,23.0,148.0,6,13
44,,332.0,6,14
45,,322.0,6,15
46,21.0,191.0,6,16
47,37.0,284.0,6,17
48,20.0,37.0,6,18
49,12.0,120.0,6,19
50,13.0,137.0,6,20
51,,150.0,6,21
52,,59.0,6,22
53,,91.0,6,23
54,,250.0,6,24
55,,135.0,6,25
56,,127.0,6,26
57,,47.0,6,27
58,,98.0,6,28
59,,31.0,6,29
60,,138.0,6,30
61,135.0,269.0,7,1
62,49.0,248.0,7,2
63,32.0,236.0,7,3
64,,101.0,7,4
65,64.0,175.0,7,5
66,40.0,314.0,7,6
67,77.0,276.0,7,7
68,97.0,267.0,7,8
69,97.0,272.0,7,9
70,85.0,175.0,7,10
71,,139.0,7,11
72,10.0,264.0,7,12
73,27.0,175.0,7,13
74,,291.0,7,14
75,7.0,48.0,7,15
76,48.0,260.0,7,16
77,35.0,274.0,7,17
78,61.0,285.0,7,18
79,79.0,187.0,7,19
80,63.0,220.0,7,20
81,16.0,7.0,7,21
82,,258.0,7,22
83,,295.0,7,23
84,80.0,294.0,7,24
85,108.0,223.0,7,25
86,20.0,81.0,7,26
87,52.0,82.0,7,27
88,82.0,213.0,7,28
89,50.0,275.0,7,29
90,64.0,253.0,7,30
91,59.0,254.0,7,31
92,39.0,83.0,8,1
93,9.0,24.0,8,2
94,16.0,77.0,8,3
95,78.0,,8,4
96,35.0,,8,5
97,66.0,,8,6
98,122.0,255.0,8,7
99,89.0,229.0,8,8
100,110.0,207.0,8,9
101,,222.0,8,10
102,,137.0,8,11
103,44.0,192.0,8,12
104,28.0,273.0,8,13
105,65.0,157.0,8,14
106,,64.0,8,15
107,22.0,71.0,8,16
108,59.0,51.0,8,17
109,23.0,115.0,8,18
110,31.0,244.0,8,19
111,44.0,190.0,8,20
112,21.0,259.0,8,21
113,9.0,36.0,8,22
114,,255.0,8,23
115,45.0,212.0,8,24
116,168.0,238.0,8,25
117,73.0,215.0,8,26
118,,153.0,8,27
119,76.0,203.0,8,28
120,118.0,225.0,8,29
121,84.0,237.0,8,30
122,85.0,188.0,8,31
123,96.0,167.0,9,1
124,78.0,197.0,9,2
125,73.0,183.0,9,3
126,91.0,189.0,9,4
127,47.0,95.0,9,5
128,32.0,92.0,9,6
129,20.0,252.0,9,7
130,23.0,220.0,9,8
131,21.0,230.0,9,9
132,24.0,259.0,9,10
133,44.0,236.0,9,11
134,21.0,259.0,9,12
135,28.0,238.0,9,13
136,9.0,24.0,9,14
137,13.0,112.0,9,15
138,46.0,237.0,9,16
139,18.0,224.0,9,17
140,13.0,27.0,9,18
141,24.0,238.0,9,19
142,16.0,201.0,9,20
143,13.0,238.0,9,21
144,23.0,14.0,9,22
145,36.0,139.0,9,23
146,7.0,49.0,9,24
147,14.0,20.0,9,25
148,30.0,193.0,9,26
149,,145.0,9,27
150,14.0,191.0,9,28
151,18.0,131.0,9,29
152,20.0,223.0,9,30
