序號,縣市,鄉鎮市區,測站名稱,測站地址,空品區,經度,緯度,影像連結
1,臺北市,北投區,士林,臺北市北投區文林北路１５５號,北部空品區,121.5145,25.105917,[URL]/ATM/AQX_P_01/011-201811121330.jpg
2,臺北市,萬華區,萬華,臺北市萬華區中華路一段６６號,北部空品區,121.507972,25.046503,[URL]/ATM/AQX_P_01/013-201811121330.jpg
3,臺北市,大同區,大同,臺北市大同區重慶北路三段２號,北部空品區,121.513311,25.0632,
4,臺北市,中山區,中山,臺北市中山區林森北路５１１號,北部空品區,121.526528,25.062361,
5,臺北市,大安區,古亭,臺北市大安區羅斯福路三段２０１號,北部空品區,121.529556,25.020608,
6,臺北市,松山區,松山,臺北市松山區八德路四段７４６號,北部空品區,121.578611,25.05,
7,臺北市,北投區,陽明,臺北市北投區竹子湖路１１１號,北部空品區,121.529583,25.182722,[URL]/ATM/AQX_P_01/064-201811121340.jpg
8,新北市,土城區,土城,新北市土城區學府路一段２４１號,北部空品區,121.451861,24.982528,
9,新北市,林口區,林口,新北市林口區文化北路一段４２５號,北部空品區,121.365703,25.07857,[URL]/ATM/AQX_P_01/009-201811121330.jpg
10,新北市,石門區,富貴角,新北市石門區富貴角海邊,北部空品區,121.537975,25.297436,[URL]/ATM/AQX_P_01/084-201811121340.jpg
11,新北市,萬里區,萬里,新北市萬里區瑪鋉路２２１號,北部空品區,121.689881,25.179667,[URL]/ATM/AQX_P_01/003-201811121340.jpg
12,新北市,汐止區,汐止,新北市汐止區樟樹一路１３７巷２６號,北部空品區,121.6408,25.065669,[URL]/ATM/AQX_P_01/002-201811121340.jpg
13,新北市,淡水區,淡水,新北市淡水區中正東路４２巷６號,北部空品區,121.449239,25.1645,
14,新北市,新店區,新店,新北市新店區民族路１０８號,北部空品區,121.537778,24.977222,[URL]/ATM/AQX_P_01/004-201811121340.jpg
15,新北市,新莊區,新莊,新北市新莊區中正路５１０號,北部空品區,121.4325,25.037972,[URL]/ATM/AQX_P_01/007-201811121340.jpg
16,新北市,永和區,永和,新北市永和區永和路與光復路交口,北部空品區,121.516306,25.017,[URL]/ATM/AQX_P_01/070-201811121330.jpg
17,新北市,三重區,菜寮,新北市三重區中正北路１６３號,北部空品區,121.481028,25.06895,
18,新北市,板橋區,板橋,新北市板橋區文化路一段２５號,北部空品區,121.458667,25.012972,
19,新北市,三重區,三重,新北市三重區三和路與重陽路交口,北部空品區,121.493806,25.072611,
20,臺中市,西屯區,西屯,臺中市西屯區安和路１號,中部空品區,120.616917,24.162197,[URL]/ATM/AQX_P_01/032-201811121340.jpg
21,臺中市,南屯區,忠明,臺中市南屯區公益路二段２９６號,中部空品區,120.641092,24.151958,[URL]/ATM/AQX_P_01/031-201811121330.jpg
22,臺中市,豐原區,豐原,臺中市豐原區水源路１５０號,中部空品區,120.741711,24.256586,[URL]/ATM/AQX_P_01/028-201811121340.jpg
23,臺中市,沙鹿區,沙鹿,臺中市沙鹿區英才路１５０號,中部空品區,120.568794,24.225628,[URL]/ATM/AQX_P_01/029-201811121340.jpg
24,臺中市,大里區,大里,臺中市大里區大新街３６號,中部空品區,120.677689,24.099611,
25,臺南市,新營區,新營,臺南市新營區中正路４號,雲嘉南空品區,120.31725,23.305633,[URL]/ATM/AQX_P_01/043-201811121340.jpg
26,臺南市,善化區,善化,臺南市善化區益民寮６０號,雲嘉南空品區,120.297142,23.115097,[URL]/ATM/AQX_P_01/044-201811121340.jpg
27,臺南市,安南區,安南,臺南市安南區安和路三段１９３號,雲嘉南空品區,120.218333,23.048333,[URL]/ATM/AQX_P_01/045-201811121330.jpg
28,臺南市,中西區,臺南,臺南市中西區南寧街４５號,雲嘉南空品區,120.202617,22.984581,
29,高雄市,左營區,左營,高雄市左營區翠華路６８７號,高屏空品區,120.292917,22.674861,
30,高雄市,楠梓區,楠梓,高雄市楠梓區楠梓路２６２號,高屏空品區,120.328289,22.733667,
31,高雄市,前金區,前金,高雄市前金區河南二路１９６號,高屏空品區,120.288086,22.632567,
32,高雄市,前鎮區,前鎮,高雄市前鎮區中山三路４３號,高屏空品區,120.307564,22.605386,[URL]/ATM/AQX_P_01/057-201811121340.jpg
33,高雄市,前鎮區,復興,高雄市前鎮區民權二路３３１號,高屏空品區,120.312017,22.608711,
34,高雄市,小港區,小港,高雄市小港區平和南路１８５號,高屏空品區,120.337736,22.565833,[URL]/ATM/AQX_P_01/058-201811121340.jpg
35,高雄市,鳳山區,鳳山,高雄市鳳山區曹公路６號,高屏空品區,120.358083,22.627392,[URL]/ATM/AQX_P_01/050-201811121330.jpg
36,高雄市,林園區,林園,高雄市林園區北汕路５８巷２號,高屏空品區,120.41175,22.4795,[URL]/ATM/AQX_P_01/052-201811121330.jpg
37,高雄市,大寮區,大寮,高雄市大寮區潮寮路６１號,高屏空品區,120.425311,22.564136,[URL]/ATM/AQX_P_01/051-201811081830.jpg
38,高雄市,仁武區,仁武,高雄市仁武區永仁街５５５號,高屏空品區,120.332631,22.689056,[URL]/ATM/AQX_P_01/049-201811121330.jpg
39,高雄市,橋頭區,橋頭,高雄市橋頭區隆豐北路１號,高屏空品區,120.305689,22.757506,[URL]/ATM/AQX_P_01/048-201811121340.jpg
40,高雄市,美濃區,美濃,高雄市美濃區忠孝路１９號,高屏空品區,120.530542,22.883583,[URL]/ATM/AQX_P_01/047-201811121340.jpg
41,基隆市,信義區,基隆,基隆市信義區東信路３２４號,北部空品區,121.760056,25.129167,[URL]/ATM/AQX_P_01/001-201811121340.jpg
42,新竹市,東區,新竹,新竹市東區民族路３３號,竹苗空品區,120.972075,24.805619,
43,嘉義市,西區,嘉義,嘉義市西區新民路５８０號,雲嘉南空品區,120.440833,23.462778,[URL]/ATM/AQX_P_01/042-201811121330.jpg
44,宜蘭縣,冬山鄉,冬山,宜蘭縣冬山鄉照安路２６號,宜蘭空品區,121.792928,24.632203,[URL]/ATM/AQX_P_01/066-201811121340.jpg
45,宜蘭縣,宜蘭市,宜蘭,宜蘭縣宜蘭市復興路二段７７號,宜蘭空品區,121.746394,24.747917,[URL]/ATM/AQX_P_01/065-201809151330.jpg
46,桃園市,桃園區,桃園,桃園市桃園區莒光街１５號,北部空品區,121.304417,24.995667,[URL]/ATM/AQX_P_01/017-201811121340.jpg
47,桃園市,大園區,大園,桃園市大園區中正東路１６０號,北部空品區,121.201811,25.060344,[URL]/ATM/AQX_P_01/018-201811121340.jpg
48,桃園市,觀音區,觀音,桃園市觀音區文化路２號,北部空品區,121.082761,25.035503,[URL]/ATM/AQX_P_01/019-201811121330.jpg
49,桃園市,龍潭區,龍潭,桃園市龍潭區中正路２１０號,北部空品區,121.21635,24.863869,
50,桃園市,中壢區,中壢,桃園市中壢區延平路６２２號,北部空品區,121.221667,24.953278,[URL]/ATM/AQX_P_01/068-201811121340.jpg
