date,hour,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,冬山,宜蘭,三義,新竹,湖口,竹東,苗栗,頭份,臺東,花蓮,關山,金門,馬公,馬祖,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山
2015/01/01,h00,29.0,48.0,55.0,53.0,36.0,44.0,15.0,51.0,24.0,36.0,23.0,78.0,62.0,72.0,90.0,75.0,85.0,71.0,70.0,55.0,64.0,69.0,84.0,68.0,,79.0,73.0,90.0,79.0,69.0,76.0,74.0,73.0,34.0,66.0,46.0,54.0,85.0,33.0,68.0,66.0,42.0,25.0,45.0,30.0,21.0,18.0,30.0,296.0,84.0,56.0,49.0,57.0,41.0,68.0,35.0,50.0,39.0,59.0,27.0,51.0,96.0,66.0,70.0,82.0,74.0,77.0,77.0,86.0,21.0,71.0,76.0,83.0,61.0,37.0,72.0
2015/01/01,h01,30.0,44.0,51.0,55.0,39.0,37.0,21.0,48.0,31.0,30.0,19.0,76.0,80.0,78.0,107.0,85.0,73.0,68.0,72.0,60.0,84.0,77.0,84.0,70.0,,76.0,85.0,94.0,72.0,66.0,78.0,83.0,70.0,40.0,58.0,71.0,87.0,90.0,33.0,84.0,73.0,67.0,45.0,72.0,27.0,39.0,17.0,40.0,301.0,83.0,48.0,58.0,65.0,44.0,60.0,39.0,49.0,46.0,64.0,34.0,51.0,88.0,72.0,67.0,69.0,73.0,64.0,86.0,74.0,17.0,77.0,74.0,67.0,69.0,39.0,62.0
2015/01/01,h02,41.0,39.0,47.0,58.0,36.0,38.0,37.0,46.0,53.0,37.0,11.0,72.0,77.0,74.0,96.0,79.0,64.0,65.0,67.0,60.0,78.0,75.0,77.0,66.0,,73.0,85.0,75.0,61.0,61.0,69.0,70.0,62.0,44.0,53.0,76.0,88.0,75.0,30.0,79.0,70.0,71.0,67.0,77.0,14.0,51.0,17.0,59.0,46.0,79.0,44.0,58.0,67.0,41.0,51.0,38.0,46.0,36.0,65.0,43.0,39.0,82.0,70.0,53.0,59.0,65.0,61.0,83.0,58.0,19.0,63.0,78.0,66.0,71.0,39.0,51.0
2015/01/01,h03,46.0,37.0,40.0,53.0,33.0,22.0,56.0,40.0,73.0,37.0,5.0,61.0,71.0,63.0,85.0,72.0,48.0,58.0,63.0,58.0,72.0,68.0,68.0,60.0,,70.0,75.0,68.0,58.0,51.0,60.0,63.0,53.0,50.0,42.0,74.0,75.0,68.0,43.0,73.0,65.0,69.0,74.0,74.0,17.0,59.0,17.0,75.0,55.0,78.0,33.0,59.0,58.0,40.0,45.0,46.0,48.0,38.0,57.0,65.0,58.0,70.0,65.0,44.0,55.0,49.0,46.0,71.0,54.0,15.0,59.0,66.0,56.0,65.0,36.0,37.0
2015/01/01,h04,69.0,34.0,32.0,43.0,36.0,29.0,67.0,34.0,77.0,55.0,0.0,48.0,59.0,51.0,72.0,63.0,41.0,53.0,50.0,55.0,59.0,62.0,58.0,55.0,,60.0,69.0,56.0,49.0,42.0,52.0,48.0,49.0,51.0,35.0,65.0,66.0,58.0,48.0,65.0,53.0,65.0,67.0,65.0,18.0,67.0,22.0,85.0,55.0,78.0,40.0,54.0,52.0,47.0,43.0,44.0,51.0,29.0,54.0,90.0,80.0,67.0,57.0,38.0,48.0,41.0,43.0,66.0,57.0,21.0,56.0,46.0,54.0,47.0,37.0,44.0
2015/01/01,h05,78.0,30.0,32.0,36.0,45.0,43.0,64.0,35.0,75.0,73.0,0.0,41.0,54.0,47.0,66.0,53.0,38.0,47.0,47.0,44.0,56.0,54.0,51.0,42.0,,50.0,54.0,42.0,42.0,36.0,44.0,40.0,44.0,52.0,35.0,62.0,57.0,48.0,57.0,55.0,43.0,55.0,57.0,58.0,24.0,56.0,26.0,89.0,52.0,77.0,37.0,51.0,54.0,49.0,38.0,45.0,54.0,37.0,55.0,97.0,88.0,61.0,59.0,40.0,44.0,41.0,40.0,61.0,62.0,31.0,49.0,45.0,48.0,30.0,40.0,40.0
2015/01/01,h06,78.0,29.0,30.0,35.0,62.0,61.0,53.0,37.0,69.0,78.0,3.0,37.0,48.0,40.0,53.0,49.0,41.0,47.0,41.0,42.0,43.0,47.0,46.0,40.0,,45.0,47.0,40.0,44.0,33.0,40.0,33.0,46.0,53.0,37.0,56.0,47.0,42.0,57.0,45.0,41.0,44.0,49.0,52.0,39.0,45.0,27.0,85.0,49.0,75.0,45.0,43.0,55.0,80.0,38.0,46.0,49.0,53.0,63.0,91.0,83.0,46.0,67.0,46.0,41.0,40.0,28.0,61.0,65.0,43.0,45.0,45.0,51.0,27.0,38.0,45.0
2015/01/01,h07,76.0,32.0,28.0,42.0,70.0,65.0,44.0,41.0,59.0,76.0,17.0,39.0,42.0,44.0,46.0,51.0,46.0,44.0,41.0,38.0,42.0,48.0,45.0,39.0,,45.0,50.0,42.0,45.0,38.0,41.0,33.0,50.0,51.0,41.0,50.0,45.0,40.0,46.0,44.0,41.0,38.0,38.0,48.0,49.0,38.0,31.0,80.0,44.0,75.0,46.0,51.0,59.0,80.0,41.0,59.0,49.0,64.0,53.0,79.0,77.0,41.0,65.0,45.0,37.0,36.0,30.0,64.0,59.0,59.0,41.0,51.0,48.0,34.0,42.0,37.0
2015/01/01,h08,66.0,37.0,34.0,55.0,63.0,62.0,39.0,45.0,50.0,65.0,19.0,45.0,40.0,43.0,42.0,53.0,43.0,42.0,41.0,45.0,46.0,51.0,49.0,43.0,,50.0,51.0,45.0,,41.0,44.0,42.0,51.0,48.0,38.0,52.0,43.0,42.0,41.0,48.0,43.0,38.0,37.0,42.0,55.0,37.0,39.0,81.0,37.0,72.0,61.0,53.0,63.0,83.0,48.0,66.0,53.0,66.0,62.0,66.0,65.0,39.0,61.0,48.0,41.0,37.0,28.0,63.0,61.0,50.0,48.0,44.0,68.0,40.0,45.0,45.0
2015/01/01,h09,61.0,43.0,35.0,64.0,56.0,57.0,40.0,42.0,49.0,62.0,27.0,45.0,40.0,47.0,46.0,52.0,38.0,44.0,39.0,38.0,46.0,47.0,47.0,47.0,,50.0,55.0,46.0,45.0,38.0,44.0,46.0,48.0,44.0,34.0,56.0,45.0,40.0,43.0,48.0,46.0,40.0,38.0,41.0,53.0,34.0,46.0,81.0,36.0,66.0,67.0,67.0,73.0,64.0,53.0,68.0,65.0,52.0,63.0,56.0,53.0,56.0,52.0,53.0,43.0,51.0,33.0,70.0,68.0,49.0,50.0,54.0,73.0,42.0,42.0,43.0
